Age,Gender,Fitness_Level,Diet,Will_Subscribe
51,Female,Advanced,Non-Vegetarian,0
39,Male,Intermediate,Vegetarian,0
60,Female,Beginner,Non-Vegetarian,0
57,Male,Intermediate,Vegetarian,0
46,Male,Beginner,Non-Vegetarian,0
53,Male,Beginner,Non-Vegetarian,0
47,Female,Beginner,Vegetarian,0
31,Male,Advanced,Non-Vegetarian,1
50,Female,Beginner,Vegan,0
43,Female,Beginner,Vegan,0
53,Female,Beginner,Vegan,0
22,Female,Intermediate,Vegetarian,0
38,Male,Intermediate,Non-Vegetarian,0
25,Female,Intermediate,Vegetarian,0
32,Female,Beginner,Non-Vegetarian,0
34,Male,Beginner,Vegan,0
54,Male,Beginner,Non-Vegetarian,0
23,Male,Advanced,Vegan,1
32,Female,Beginner,Non-Vegetarian,0
45,Female,Intermediate,Vegetarian,0
39,Male,Advanced,Non-Vegetarian,0
50,Female,Intermediate,Non-Vegetarian,0
27,Female,Advanced,Non-Vegetarian,1
32,Male,Advanced,Vegetarian,1
60,Male,Beginner,Non-Vegetarian,0
27,Female,Advanced,Vegetarian,1
28,Male,Advanced,Non-Vegetarian,1
19,Male,Intermediate,Vegan,0
19,Male,Advanced,Vegan,1
41,Female,Advanced,Vegetarian,0
20,Male,Intermediate,Non-Vegetarian,0
41,Male,Beginner,Non-Vegetarian,0
26,Female,Intermediate,Non-Vegetarian,0
39,Female,Beginner,Vegetarian,0
58,Male,Beginner,Non-Vegetarian,0
34,Male,Intermediate,Vegan,1
43,Female,Beginner,Non-Vegetarian,0
37,Male,Intermediate,Vegan,0
24,Female,Advanced,Vegan,1
29,Female,Advanced,Non-Vegetarian,1
58,Female,Advanced,Vegetarian,0
19,Male,Advanced,Non-Vegetarian,0
49,Female,Beginner,Vegan,0
19,Female,Advanced,Non-Vegetarian,0
45,Male,Beginner,Non-Vegetarian,0
48,Male,Advanced,Vegan,1
24,Female,Beginner,Vegan,0
51,Female,Beginner,Vegetarian,0
39,Female,Intermediate,Vegetarian,0
38,Male,Beginner,Non-Vegetarian,0
38,Male,Advanced,Vegan,1
29,Male,Intermediate,Vegan,1
43,Male,Advanced,Non-Vegetarian,0
56,Female,Beginner,Vegetarian,0
40,Female,Advanced,Vegan,1
31,Female,Beginner,Vegetarian,0
52,Female,Intermediate,Non-Vegetarian,0
46,Male,Intermediate,Vegetarian,0
47,Male,Advanced,Vegan,1
56,Male,Advanced,Non-Vegetarian,0
47,Male,Beginner,Vegan,0
60,Male,Beginner,Non-Vegetarian,0
34,Female,Beginner,Vegan,0
19,Female,Beginner,Vegan,0
37,Male,Intermediate,Vegan,0
34,Female,Beginner,Vegan,0
45,Male,Intermediate,Non-Vegetarian,0
18,Male,Intermediate,Vegan,0
60,Female,Beginner,Vegetarian,0
54,Female,Beginner,Non-Vegetarian,0
55,Female,Beginner,Vegetarian,0
48,Female,Beginner,Vegan,0
42,Male,Intermediate,Vegan,0
22,Male,Advanced,Vegetarian,1
31,Female,Advanced,Vegan,1
42,Female,Intermediate,Vegetarian,0
57,Female,Beginner,Vegan,0
28,Male,Beginner,Vegetarian,0
55,Female,Intermediate,Vegetarian,0
42,Female,Beginner,Vegetarian,0
38,Male,Intermediate,Non-Vegetarian,0
46,Male,Intermediate,Non-Vegetarian,0
56,Female,Advanced,Non-Vegetarian,0
27,Female,Beginner,Non-Vegetarian,0
35,Male,Intermediate,Vegetarian,0
23,Female,Beginner,Vegan,0
40,Female,Beginner,Vegan,0
46,Male,Beginner,Vegetarian,0
26,Female,Advanced,Vegan,1
35,Male,Beginner,Vegan,0
42,Male,Intermediate,Vegan,0
20,Male,Intermediate,Vegan,1
37,Male,Intermediate,Vegan,0
59,Female,Beginner,Vegetarian,0
38,Female,Beginner,Vegan,0
46,Female,Intermediate,Vegan,0
51,Female,Advanced,Vegan,1
43,Male,Beginner,Vegetarian,0
49,Male,Beginner,Non-Vegetarian,0
35,Female,Beginner,Non-Vegetarian,0
